Country,Time,1615.T-Price
JP,2022-07,142.90884399414062
JP,2022-08,147.98281860351562
JP,2022-09,145.28732299804688
JP,2022-10,150.4087677001953
JP,2022-11,162.8080596923828
JP,2022-12,182.1257781982422
JP,2023-01,191.91944885253906
JP,2023-02,198.92771911621094
JP,2023-03,179.69984436035156
JP,2023-04,197.66983032226562
JP,2023-05,192.54837036132812
JP,2023-06,210.15896606445312
JP,2023-07,222.46839904785156
JP,2023-08,231.2606964111328
JP,2023-09,253.19297790527344
JP,2023-10,254.02586364746094
JP,2023-11,251.52723693847656
JP,2023-12,241.9954833984375
JP,2024-01,270.3131408691406
JP,2024-02,289.4691467285156
JP,2024-03,306.4042053222656
JP,2024-04,310.8462219238281
JP,2024-05,334.0740966796875
JP,2024-06,341.38482666015625
JP,2024-07,339.1638488769531
