Country,Time,HICP (SA)
JP,1977-02,61.50419116502983
JP,1977-03,61.64339724161659
JP,1977-04,62.043321388144875
JP,1977-05,62.71004013532795
JP,1977-06,62.88701587524949
JP,1977-07,62.82481339650941
JP,1977-08,63.18367406747444
JP,1977-09,63.45688744523146
JP,1977-10,63.855978021758524
JP,1977-11,63.88967004369575
JP,1977-12,64.15678371000064
JP,1978-01,64.26213542143286
JP,1978-02,64.41220086835276
JP,1978-03,64.71608594579754
JP,1978-04,64.78537344124167
JP,1978-05,65.14582090138227
JP,1978-06,65.18357534635197
JP,1978-07,65.68085389973686
JP,1978-08,65.9710578862207
JP,1978-09,65.96294262405907
JP,1978-10,66.11613640341177
JP,1978-11,66.19930277070152
JP,1978-12,66.55987724562227
JP,1979-01,66.70001722319388
JP,1979-02,66.17415026348559
JP,1979-03,66.61080040768609
JP,1979-04,66.78602158048821
JP,1979-05,67.20066444050906
JP,1979-06,67.60475011540157
JP,1979-07,68.6175118852237
JP,1979-08,67.99183127495814
JP,1979-09,68.16844555800579
JP,1979-10,69.02867312958249
JP,1979-11,69.27142622042993
JP,1979-12,70.25906303465999
JP,1980-01,70.88309821579831
JP,1980-02,71.25459253455197
JP,1980-03,71.61159082215927
JP,1980-04,72.305271066147
JP,1980-05,72.62869280876784
JP,1980-06,73.15479639759491
JP,1980-07,73.80866604332128
JP,1980-08,73.71070964215741
JP,1980-09,74.11345856428967
JP,1980-10,74.35083777144057
JP,1980-11,74.83610637085556
JP,1980-12,75.08224698644362
JP,1981-01,75.89900070572432
JP,1981-02,75.74313313341133
JP,1981-03,75.95506762111901
JP,1981-04,75.99345048510604
JP,1981-05,76.38053728109513
JP,1981-06,76.63791037701347
JP,1981-07,77.09128704648006
JP,1981-08,76.98186303507603
JP,1981-09,77.22462867004973
JP,1981-10,77.41523577101233
JP,1981-11,77.60389838466939
JP,1981-12,78.11862132931526
JP,1982-01,78.11508394564709
JP,1982-02,78.1555982201228
JP,1982-03,78.17334781569235
JP,1982-04,78.38789764649349
JP,1982-05,78.28338388871852
JP,1982-06,78.60913054350999
JP,1982-07,78.59852544882055
JP,1982-08,79.51238450298288
JP,1982-09,79.84436273912974
JP,1982-10,79.76525652049756
JP,1982-11,79.44118152606964
JP,1982-12,79.60939145767433
JP,1983-01,79.67664079501955
JP,1983-02,79.656433726221
JP,1983-03,79.88250666638102
JP,1983-04,79.98215630733486
JP,1983-05,80.39047580144731
JP,1983-06,80.32267599281079
JP,1983-07,80.37420713837642
JP,1983-08,80.5750054913972
JP,1983-09,80.64105634567701
JP,1983-10,80.92294083805983
JP,1983-11,81.00214896447424
JP,1983-12,80.87045971635293
JP,1984-01,81.17896446179448
JP,1984-02,81.97151977087903
JP,1984-03,81.82407864134017
JP,1984-04,81.72948768743503
JP,1984-05,81.99606938655504
JP,1984-06,81.84799607330535
JP,1984-07,82.25472741517748
JP,1984-08,81.97593798374035
JP,1984-09,82.60917524219376
JP,1984-10,82.61820976540174
JP,1984-11,82.7798178456879
JP,1984-12,83.0882445925837
JP,1985-01,83.42184674654042
JP,1985-02,83.32549098912668
JP,1985-03,83.30225357762087
JP,1985-04,83.55279357950552
JP,1985-05,83.41534169383726
JP,1985-06,83.81712071015264
JP,1985-07,84.18091005082911
